100 800
47 9
0 44 902
1 31 505
2 30 387
3 1 194
4 3 536
5 1 831
6 3 136
7 17 719
8 69 862
9 84 84
10 5 27
11 64 77
12 74 151
13 9 556
14 23 195
15 13 163
16 31 1036
17 14 52
18 1 576
19 14 377
20 3 478
21 12 104
22 29 602
23 13 546
24 2 255
25 46 450
26 62 343
27 85 424
28 54 507
29 49 640
30 92 991
31 43 865
32 72 709
33 84 250
34 3 847
35 22 236
36 67 814
37 69 48
38 13 951
39 58 752
40 89 192
41 52 163
42 43 574
43 72 375
44 3 546
45 36 920
46 93 114
47 35 742
48 94 598
49 10 296
50 76 949
51 72 791
52 8 451
53 48 141
54 71 1001
55 79 428
56 94 457
57 41 617
58 53 475
59 8 899
60 6 66
61 27 815
62 24 46
63 93 892
64 73 1032
65 50 704
66 24 271
67 91 628
68 86 598
69 77 379
70 75 590
71 27 934
72 74 943
73 5 675
74 83 137
75 79 34
76 13 464
77 34 130
78 61 661
79 8 584
80 58 633
81 98 842
82 92 821
83 35 808
84 96 189
85 92 867
86 45 320
87 95 779
88 24 1011
89 29 872
90 68 78
91 10 351
92 93 949
93 96 455
94 5 593
95 98 933
96 97 1003
97 73 889
98 65 431
99 58 977
39 63 293
0 61 765
53 23 258
24 17 146
80 89 23
32 15 1010
34 96 63
10 1 874
81 97 36
56 36 806
47 98 94
53 6 202
7 64 918
86 79 813
53 85 954
15 14 80
27 56 321
9 21 33
71 22 912
77 86 552
20 8 395
64 90 1035
11 98 600
82 87 128
0 73 431
71 65 277
17 11 101
9 1 501
44 14 209
27 6 693
58 48 596
37 14 844
93 95 176
69 74 221
75 36 350
95 31 911
52 98 941
55 13 1049
55 33 233
69 98 957
67 93 427
64 94 699
16 35 75
60 14 416
36 26 241
21 3 161
19 13 669
83 9 953
84 89 193
8 65 250
82 57 337
41 82 123
63 72 903
26 32 866
58 96 973
87 91 59
37 28 105
26 19 167
30 17 554
23 38 275
21 4 437
85 69 396
96 15 851
58 69 187
94 34 374
2 57 901
14 1 1023
94 99 658
64 87 337
52 84 812
42 76 844
40 77 197
13 36 80
8 80 794
39 15 686
24 55 231
73 38 167
19 18 596
67 99 121
63 51 560
28 77 1024
92 8 97
56 72 600
3 57 577
83 53 406
96 61 450
34 1 944
55 98 258
86 90 174
13 30 254
38 98 883
27 58 179
87 88 363
32 29 407
28 36 989
73 53 213
37 18 254
27 1 21
94 55 625
78 83 346
89 99 207
16 5 697
61 58 917
24 8 500
77 91 724
50 66 650
2 1 46
64 23 45
47 24 23
75 55 844
67 66 742
4 2 404
2 0 235
42 17 507
1 76 846
84 97 805
4 25 311
89 93 869
34 61 75
18 84 542
15 6 51
72 76 395
50 87 872
66 89 824
91 99 600
87 97 932
74 55 639
80 91 395
35 39 428
34 19 626
94 58 728
73 71 1015
81 1 994
1 26 404
29 10 416
95 77 617
78 31 136
83 57 323
50 99 920
40 72 101
76 85 117
29 65 48
21 1 705
11 20 1009
23 7 55
93 73 597
27 32 505
98 89 487
98 66 578
33 0 587
14 10 183
79 15 821
48 44 635
3 75 1007
35 57 1037
68 16 230
80 62 474
45 4 71
95 99 654
53 74 872
30 22 619
24 45 899
81 63 186
62 83 386
78 87 681
74 8 676
40 47 551
94 78 745
92 6 342
67 84 981
79 38 201
46 92 643
82 28 830
72 94 337
97 88 622
57 9 716
79 72 379
7 85 334
47 74 947
51 77 968
32 4 1037
39 55 194
99 82 577
88 17 375
23 10 745
67 86 442
15 8 605
69 73 60
71 39 922
33 7 218
85 86 373
77 6 883
4 1 426
7 79 817
97 60 9
14 12 628
9 25 633
51 28 293
14 97 942
72 83 579
91 28 422
86 46 483
24 16 678
46 24 737
3 38 918
15 3 542
96 99 778
23 86 447
48 14 860
91 96 423
35 20 936
86 87 388
8 14 511
37 0 6
85 89 143
15 5 888
79 51 604
15 34 913
29 86 957
53 38 950
7 1 951
79 14 648
25 31 171
78 95 949
94 96 781
44 69 747
76 15 242
21 16 744
44 65 140
53 52 281
4 0 717
41 63 722
51 90 804
49 93 593
67 20 391
20 2 895
61 28 1018
47 0 699
43 35 46
97 78 425
54 76 185
82 43 511
79 87 922
33 25 8
88 85 1043
62 81 492
67 98 952
52 65 497
90 3 967
65 99 972
43 38 514
43 58 372
17 3 525
75 86 570
77 48 985
69 84 607
49 9 946
65 86 110
74 79 155
83 92 248
52 83 311
26 47 795
68 92 465
87 0 691
54 62 523
10 4 182
16 96 181
63 28 375
70 80 608
43 13 455
6 16 489
42 24 168
52 0 49
94 98 594
90 92 507
39 91 850
79 22 531
0 62 156
38 31 28
30 64 651
36 38 436
5 29 1049
16 8 831
2 38 631
94 97 978
86 43 352
50 90 278
97 98 439
22 16 86
32 87 800
82 94 615
29 39 716
31 12 549
38 89 272
69 63 31
32 93 903
85 0 110
5 43 526
32 30 310
48 63 39
12 20 701
61 66 454
53 94 710
85 77 139
67 4 185
54 66 638
86 14 878
20 7 662
79 47 882
71 91 570
35 21 59
15 4 468
70 85 97
79 89 186
48 9 251
80 84 288
18 14 851
92 75 138
50 46 1025
31 2 313
51 91 298
27 52 33
78 84 864
64 8 942
72 88 906
49 51 146
49 48 932
9 39 969
88 86 118
59 74 809
49 68 692
10 81 541
67 14 904
88 96 359
75 84 951
69 92 529
9 5 460
77 81 288
43 88 819
39 73 435
89 91 1012
39 50 301
12 19 943
74 91 166
21 67 469
73 6 504
98 29 858
99 38 575
93 27 995
89 96 683
4 14 415
17 19 911
63 16 398
27 2 284
43 50 926
26 77 451
64 81 606
28 49 255
48 23 520
85 90 823
26 25 432
66 1 556
90 91 675
60 70 849
57 73 719
48 69 555
38 22 27
7 88 761
56 44 265
82 86 496
49 79 998
64 39 971
21 92 23
32 16 982
95 94 679
3 19 951
35 2 802
73 89 530
15 12 176
28 2 491
74 24 908
5 41 156
74 49 799
26 5 744
57 77 726
63 45 671
51 36 108
83 85 387
75 59 984
41 39 369
35 49 600
20 25 887
29 7 694
65 54 284
12 3 890
13 8 54
77 21 893
98 16 812
41 19 149
81 93 796
80 85 665
38 12 577
23 92 110
23 12 710
26 24 17
45 94 944
11 74 146
10 53 1031
1 70 630
35 65 866
9 8 313
13 62 910
11 2 703
99 90 403
97 99 615
15 90 101
53 50 475
12 57 725
8 33 277
29 24 270
12 64 208
3 88 410
51 95 458
61 2 1038
23 84 429
85 19 673
93 98 221
71 86 452
95 96 696
29 26 872
86 98 349
78 52 618
48 64 205
99 62 875
42 21 805
48 76 316
44 19 194
90 47 615
95 58 823
19 54 1037
28 16 779
57 88 4
34 71 297
23 62 489
16 99 953
46 48 568
82 9 62
83 61 738
22 72 219
66 91 316
44 30 739
42 31 725
37 11 940
69 2 472
82 52 745
71 97 928
25 11 870
7 73 705
34 91 596
27 9 979
99 70 236
39 26 774
58 33 638
21 11 1
